height,timestamp_secs,energy,gas,tx_count
19900000,1716073583,177953,13247296,147
19900001,1716073595,47307,8259098,101
19900002,1716073607,106372,29972236,174
19900003,1716073619,56342,10020311,144
19900004,1716073631,56353,12691644,158
19900005,1716073643,44432,6214841,81
19900006,1716073655,73149,29223435,126
19900007,1716073667,31401,6215970,80
19900008,1716073679,29283,22869703,99
19900009,1716073691,48794,9906736,119
19900010,1716073703,56615,29998424,136
19900011,1716073715,131652,14918170,80
19900012,1716073727,47335,10092313,111
19900013,1716073739,35062,6725199,78
19900014,1716073751,92659,20005059,210
19900015,1716073763,43675,12100480,126
19900016,1716073775,14076,4877180,23
19900017,1716073787,97062,17140811,199
19900018,1716073799,73365,15076736,149
19900019,1716073811,67519,13341211,211
19900020,1716073823,193580,16087164,169
19900021,1716073835,39494,8564442,96
19900022,1716073847,65730,29016043,172
19900023,1716073859,59649,11178591,107
19900024,1716073871,57500,12119638,129
19900025,1716073883,90878,15248358,145
19900026,1716073895,45390,9979199,118
19900027,1716073907,47992,29990718,130
19900028,1716073919,40254,7505197,127
19900029,1716073931,92192,17768494,213
19900030,1716073943,52041,9647857,107
19900031,1716073955,41325,24029833,127
19900032,1716073967,152512,13674305,121
19900033,1716073979,69562,12296648,126
19900034,1716073991,17192,3429863,69
19900035,1716074003,83832,29996777,429
19900036,1716074015,98457,18528989,196
19900037,1716074027,31922,6365967,88
19900038,1716074039,69217,29998102,138
19900039,1716074051,45901,9128889,110
19900040,1716074063,31490,5719350,91
19900041,1716074075,97660,19200558,149
19900042,1716074087,48607,9002442,114
19900043,1716074099,54119,29985893,163
19900044,1716074111,150361,15505026,146
19900045,1716074123,48036,9151339,116
19900046,1716074135,59848,9350233,113
19900047,1716074147,81653,15863716,173
19900048,1716074159,39626,24904980,107
19900049,1716074171,48769,12380368,125
19900050,1716074183,53382,10170291,126
19900051,1716074195,48665,26068501,103
19900052,1716074207,40992,8854307,127
19900053,1716074219,76623,13744979,133
19900054,1716074231,80147,15058707,207
19900055,1716074243,176625,15364473,158
19900056,1716074255,59796,10572830,129
19900057,1716074267,58545,27634940,126
19900058,1716074279,47434,8764141,139
19900059,1716074291,84693,15844096,205
19900060,1716074303,49735,11454628,159
19900061,1716074315,69312,15150427,177
19900062,1716074327,60491,11435054,141
